layer,multiplier,index,origin,loss
0,0,0,openwebtext-256-64,2.9521830081939697
1,0,0,openwebtext-256-64,2.9521830081939697
2,0,0,openwebtext-256-64,2.9521830081939697
3,0,0,openwebtext-256-64,2.9521830081939697
4,0,0,openwebtext-256-64,2.9521830081939697
5,0,0,openwebtext-256-64,2.9521830081939697
6,0,0,openwebtext-256-64,2.9521830081939697
7,0,0,openwebtext-256-64,2.9521830081939697
8,0,0,openwebtext-256-64,2.9521830081939697
9,0,0,openwebtext-256-64,2.9521830081939697
10,0,0,openwebtext-256-64,2.9521830081939697
11,0,0,openwebtext-256-64,2.9521830081939697
0,0,1,openwebtext-256-64,3.4080777168273926
1,0,1,openwebtext-256-64,3.4080777168273926
2,0,1,openwebtext-256-64,3.4080777168273926
3,0,1,openwebtext-256-64,3.4080777168273926
4,0,1,openwebtext-256-64,3.4080777168273926
5,0,1,openwebtext-256-64,3.4080777168273926
6,0,1,openwebtext-256-64,3.4080777168273926
7,0,1,openwebtext-256-64,3.4080777168273926
8,0,1,openwebtext-256-64,3.4080777168273926
9,0,1,openwebtext-256-64,3.4080777168273926
10,0,1,openwebtext-256-64,3.4080777168273926
11,0,1,openwebtext-256-64,3.4080777168273926
0,0,2,openwebtext-256-64,3.091437816619873
1,0,2,openwebtext-256-64,3.091437816619873
2,0,2,openwebtext-256-64,3.091437816619873
3,0,2,openwebtext-256-64,3.091437816619873
4,0,2,openwebtext-256-64,3.091437816619873
5,0,2,openwebtext-256-64,3.091437816619873
6,0,2,openwebtext-256-64,3.091437816619873
7,0,2,openwebtext-256-64,3.091437816619873
8,0,2,openwebtext-256-64,3.091437816619873
9,0,2,openwebtext-256-64,3.091437816619873
10,0,2,openwebtext-256-64,3.091437816619873
11,0,2,openwebtext-256-64,3.091437816619873
0,0,3,openwebtext-256-64,2.7538959980010986
1,0,3,openwebtext-256-64,2.7538959980010986
2,0,3,openwebtext-256-64,2.7538959980010986
3,0,3,openwebtext-256-64,2.7538959980010986
4,0,3,openwebtext-256-64,2.7538959980010986
5,0,3,openwebtext-256-64,2.7538959980010986
6,0,3,openwebtext-256-64,2.7538959980010986
7,0,3,openwebtext-256-64,2.7538959980010986
8,0,3,openwebtext-256-64,2.7538959980010986
9,0,3,openwebtext-256-64,2.7538959980010986
10,0,3,openwebtext-256-64,2.7538959980010986
11,0,3,openwebtext-256-64,2.7538959980010986
0,0,4,openwebtext-256-64,3.9116716384887695
1,0,4,openwebtext-256-64,3.9116716384887695
2,0,4,openwebtext-256-64,3.9116716384887695
3,0,4,openwebtext-256-64,3.9116716384887695
4,0,4,openwebtext-256-64,3.9116716384887695
5,0,4,openwebtext-256-64,3.9116716384887695
6,0,4,openwebtext-256-64,3.9116716384887695
7,0,4,openwebtext-256-64,3.9116716384887695
8,0,4,openwebtext-256-64,3.9116716384887695
9,0,4,openwebtext-256-64,3.9116716384887695
10,0,4,openwebtext-256-64,3.9116716384887695
11,0,4,openwebtext-256-64,3.9116716384887695
0,0,5,openwebtext-256-64,2.2267231941223145
1,0,5,openwebtext-256-64,2.2267231941223145
2,0,5,openwebtext-256-64,2.2267231941223145
3,0,5,openwebtext-256-64,2.2267231941223145
4,0,5,openwebtext-256-64,2.2267231941223145
5,0,5,openwebtext-256-64,2.2267231941223145
6,0,5,openwebtext-256-64,2.2267231941223145
7,0,5,openwebtext-256-64,2.2267231941223145
8,0,5,openwebtext-256-64,2.2267231941223145
9,0,5,openwebtext-256-64,2.2267231941223145
10,0,5,openwebtext-256-64,2.2267231941223145
11,0,5,openwebtext-256-64,2.2267231941223145
0,0,6,openwebtext-256-64,2.6638753414154053
1,0,6,openwebtext-256-64,2.6638753414154053
2,0,6,openwebtext-256-64,2.6638753414154053
3,0,6,openwebtext-256-64,2.6638753414154053
4,0,6,openwebtext-256-64,2.6638753414154053
5,0,6,openwebtext-256-64,2.6638753414154053
6,0,6,openwebtext-256-64,2.6638753414154053
7,0,6,openwebtext-256-64,2.6638753414154053
8,0,6,openwebtext-256-64,2.6638753414154053
9,0,6,openwebtext-256-64,2.6638753414154053
10,0,6,openwebtext-256-64,2.6638753414154053
11,0,6,openwebtext-256-64,2.6638753414154053
0,0,7,openwebtext-256-64,3.0682284832000732
1,0,7,openwebtext-256-64,3.0682284832000732
2,0,7,openwebtext-256-64,3.0682284832000732
3,0,7,openwebtext-256-64,3.0682284832000732
4,0,7,openwebtext-256-64,3.0682284832000732
5,0,7,openwebtext-256-64,3.0682284832000732
6,0,7,openwebtext-256-64,3.0682284832000732
7,0,7,openwebtext-256-64,3.0682284832000732
8,0,7,openwebtext-256-64,3.0682284832000732
9,0,7,openwebtext-256-64,3.0682284832000732
10,0,7,openwebtext-256-64,3.0682284832000732
11,0,7,openwebtext-256-64,3.0682284832000732
0,0,8,openwebtext-256-64,2.927901029586792
1,0,8,openwebtext-256-64,2.927901029586792
2,0,8,openwebtext-256-64,2.927901029586792
3,0,8,openwebtext-256-64,2.927901029586792
4,0,8,openwebtext-256-64,2.927901029586792
5,0,8,openwebtext-256-64,2.927901029586792
6,0,8,openwebtext-256-64,2.927901029586792
7,0,8,openwebtext-256-64,2.927901029586792
8,0,8,openwebtext-256-64,2.927901029586792
9,0,8,openwebtext-256-64,2.927901029586792
10,0,8,openwebtext-256-64,2.927901029586792
11,0,8,openwebtext-256-64,2.927901029586792
0,0,9,openwebtext-256-64,4.467441082000732
1,0,9,openwebtext-256-64,4.467441082000732
2,0,9,openwebtext-256-64,4.467441082000732
3,0,9,openwebtext-256-64,4.467441082000732
4,0,9,openwebtext-256-64,4.467441082000732
5,0,9,openwebtext-256-64,4.467441082000732
6,0,9,openwebtext-256-64,4.467441082000732
7,0,9,openwebtext-256-64,4.467441082000732
8,0,9,openwebtext-256-64,4.467441082000732
9,0,9,openwebtext-256-64,4.467441082000732
10,0,9,openwebtext-256-64,4.467441082000732
11,0,9,openwebtext-256-64,4.467441082000732
0,0,10,openwebtext-256-64,3.1344220638275146
1,0,10,openwebtext-256-64,3.1344220638275146
2,0,10,openwebtext-256-64,3.1344220638275146
3,0,10,openwebtext-256-64,3.1344220638275146
4,0,10,openwebtext-256-64,3.1344220638275146
5,0,10,openwebtext-256-64,3.1344220638275146
6,0,10,openwebtext-256-64,3.1344220638275146
7,0,10,openwebtext-256-64,3.1344220638275146
8,0,10,openwebtext-256-64,3.1344220638275146
9,0,10,openwebtext-256-64,3.1344220638275146
10,0,10,openwebtext-256-64,3.1344220638275146
11,0,10,openwebtext-256-64,3.1344220638275146
0,0,11,openwebtext-256-64,3.560015916824341
1,0,11,openwebtext-256-64,3.560015916824341
2,0,11,openwebtext-256-64,3.560015916824341
