index,origin,loss,layer,multiplier
0,openwebtext-16-128,2.7960100173950195,0,0
0,openwebtext-16-128,2.7960100173950195,1,0
0,openwebtext-16-128,2.7960100173950195,10,0
0,openwebtext-16-128,2.7960100173950195,11,0
0,openwebtext-16-128,2.7960100173950195,2,0
0,openwebtext-16-128,2.7960100173950195,3,0
0,openwebtext-16-128,2.7960100173950195,4,0
0,openwebtext-16-128,2.7960100173950195,5,0
0,openwebtext-16-128,2.7960100173950195,6,0
0,openwebtext-16-128,2.7960100173950195,7,0
0,openwebtext-16-128,2.7960100173950195,8,0
0,openwebtext-16-128,2.7960100173950195,9,0
1,openwebtext-16-128,4.260580539703369,0,0
1,openwebtext-16-128,4.260580539703369,1,0
1,openwebtext-16-128,4.260580539703369,10,0
1,openwebtext-16-128,4.260580539703369,11,0
1,openwebtext-16-128,4.260580539703369,2,0
1,openwebtext-16-128,4.260580539703369,3,0
1,openwebtext-16-128,4.260580539703369,4,0
1,openwebtext-16-128,4.260580539703369,5,0
1,openwebtext-16-128,4.260580539703369,6,0
1,openwebtext-16-128,4.260580539703369,7,0
1,openwebtext-16-128,4.260580539703369,8,0
1,openwebtext-16-128,4.260580539703369,9,0
2,openwebtext-16-128,3.1340789794921875,0,0
2,openwebtext-16-128,3.1340789794921875,1,0
2,openwebtext-16-128,3.1340789794921875,10,0
2,openwebtext-16-128,3.1340789794921875,11,0
2,openwebtext-16-128,3.1340789794921875,2,0
2,openwebtext-16-128,3.1340789794921875,3,0
2,openwebtext-16-128,3.1340789794921875,4,0
2,openwebtext-16-128,3.1340789794921875,5,0
2,openwebtext-16-128,3.1340789794921875,6,0
2,openwebtext-16-128,3.1340789794921875,7,0
2,openwebtext-16-128,3.1340789794921875,8,0
2,openwebtext-16-128,3.1340789794921875,9,0
3,openwebtext-16-128,3.3996689319610596,0,0
3,openwebtext-16-128,3.3996689319610596,1,0
3,openwebtext-16-128,3.3996689319610596,10,0
3,openwebtext-16-128,3.3996689319610596,11,0
3,openwebtext-16-128,3.3996689319610596,2,0
3,openwebtext-16-128,3.3996689319610596,3,0
3,openwebtext-16-128,3.3996689319610596,4,0
3,openwebtext-16-128,3.3996689319610596,5,0
3,openwebtext-16-128,3.3996689319610596,6,0
3,openwebtext-16-128,3.3996689319610596,7,0
3,openwebtext-16-128,3.3996689319610596,8,0
3,openwebtext-16-128,3.3996689319610596,9,0
4,openwebtext-16-128,7.9115400314331055,0,0
4,openwebtext-16-128,7.9115400314331055,1,0
4,openwebtext-16-128,7.9115400314331055,10,0
