layer,multiplier,index,origin,loss
11,0.0,4,openwebtext-128-64,3.9116735458374023
8,-1.0,4,openwebtext-128-64,4.351815223693848
8,-0.5,4,openwebtext-128-64,4.196878433227539
8,-0.2,4,openwebtext-128-64,4.104076862335205
8,-0.15,4,openwebtext-128-64,4.076504230499268
8,-0.1,4,openwebtext-128-64,4.02663516998291
8,-0.05,4,openwebtext-128-64,3.945614814758301
8,0.05,4,openwebtext-128-64,4.062130928039551
8,0.1,4,openwebtext-128-64,4.504609107971191
8,0.15,4,openwebtext-128-64,5.03155517578125
8,0.2,4,openwebtext-128-64,5.666558742523193
8,0.5,4,openwebtext-128-64,10.917665481567383
8,1.0,4,openwebtext-128-64,15.820905685424805
0,0.0,5,openwebtext-128-64,2.22672438621521
1,0.0,5,openwebtext-128-64,2.22672438621521
2,0.0,5,openwebtext-128-64,2.22672438621521
3,0.0,5,openwebtext-128-64,2.22672438621521
4,0.0,5,openwebtext-128-64,2.22672438621521
5,0.0,5,openwebtext-128-64,2.22672438621521
6,0.0,5,openwebtext-128-64,2.22672438621521
7,0.0,5,openwebtext-128-64,2.22672438621521
8,0.0,5,openwebtext-128-64,2.22672438621521
9,0.0,5,openwebtext-128-64,2.22672438621521
10,0.0,5,openwebtext-128-64,2.22672438621521
11,0.0,5,openwebtext-128-64,2.22672438621521
8,-1.0,5,openwebtext-128-64,3.156733751296997
8,-0.5,5,openwebtext-128-64,2.8532052040100098
8,-0.2,5,openwebtext-128-64,2.6572721004486084
8,-0.15,5,openwebtext-128-64,2.5864150524139404
8,-0.1,5,openwebtext-128-64,2.468104124069214
8,-0.05,5,openwebtext-128-64,2.318319797515869
8,0.05,5,openwebtext-128-64,2.2569122314453125
8,0.1,5,openwebtext-128-64,2.436788558959961
8,0.15,5,openwebtext-128-64,3.04463267326355
8,0.2,5,openwebtext-128-64,3.817991018295288
8,0.5,5,openwebtext-128-64,8.749075889587402
8,1.0,5,openwebtext-128-64,13.15841293334961
0,0.0,6,openwebtext-128-64,2.6638760566711426
1,0.0,6,openwebtext-128-64,2.6638760566711426
2,0.0,6,openwebtext-128-64,2.6638760566711426
3,0.0,6,openwebtext-128-64,2.6638760566711426
4,0.0,6,openwebtext-128-64,2.6638760566711426
5,0.0,6,openwebtext-128-64,2.6638760566711426
6,0.0,6,openwebtext-128-64,2.6638760566711426
7,0.0,6,openwebtext-128-64,2.6638760566711426
8,0.0,6,openwebtext-128-64,2.6638760566711426
9,0.0,6,openwebtext-128-64,2.6638760566711426
10,0.0,6,openwebtext-128-64,2.6638760566711426
11,0.0,6,openwebtext-128-64,2.6638760566711426
8,-1.0,6,openwebtext-128-64,3.0896823406219482
8,-0.5,6,openwebtext-128-64,2.920393943786621
8,-0.2,6,openwebtext-128-64,2.8334100246429443
8,-0.15,6,openwebtext-128-64,2.809216260910034
8,-0.1,6,openwebtext-128-64,2.7753775119781494
8,-0.05,6,openwebtext-128-64,2.730039596557617
8,0.05,6,openwebtext-128-64,2.636737823486328
8,0.1,6,openwebtext-128-64,2.73272705078125
8,0.15,6,openwebtext-128-64,2.9434947967529297
8,0.2,6,openwebtext-128-64,3.399813652038574
8,0.5,6,openwebtext-128-64,6.920155048370361
8,1.0,6,openwebtext-128-64,10.691755294799805
0,0.0,7,openwebtext-128-64,3.068228006362915
1,0.0,7,openwebtext-128-64,3.068228006362915
2,0.0,7,openwebtext-128-64,3.068228006362915
3,0.0,7,openwebtext-128-64,3.068228006362915
4,0.0,7,openwebtext-128-64,3.068228006362915
5,0.0,7,openwebtext-128-64,3.068228006362915
6,0.0,7,openwebtext-128-64,3.068228006362915
7,0.0,7,openwebtext-128-64,3.068228006362915
8,0.0,7,openwebtext-128-64,3.068228006362915
9,0.0,7,openwebtext-128-64,3.068228006362915
10,0.0,7,openwebtext-128-64,3.068228006362915
11,0.0,7,openwebtext-128-64,3.068228006362915
8,-1.0,7,openwebtext-128-64,3.4986307621002197
8,-0.5,7,openwebtext-128-64,3.32807993888855
8,-0.2,7,openwebtext-128-64,3.2042975425720215
8,-0.15,7,openwebtext-128-64,3.163438320159912
8,-0.1,7,openwebtext-128-64,3.1016883850097656
8,-0.05,7,openwebtext-128-64,3.0499532222747803
8,0.05,7,openwebtext-128-64,3.1981401443481445
8,0.1,7,openwebtext-128-64,3.5333003997802734
8,0.15,7,openwebtext-128-64,4.004398345947266
8,0.2,7,openwebtext-128-64,4.671847343444824
8,0.5,7,openwebtext-128-64,11.83890438079834
8,1.0,7,openwebtext-128-64,17.354158401489258
0,0.0,8,openwebtext-128-64,2.927901029586792
1,0.0,8,openwebtext-128-64,2.927901029586792
2,0.0,8,openwebtext-128-64,2.927901029586792
3,0.0,8,openwebtext-128-64,2.927901029586792
4,0.0,8,openwebtext-128-64,2.927901029586792
5,0.0,8,openwebtext-128-64,2.927901029586792
6,0.0,8,openwebtext-128-64,2.927901029586792
7,0.0,8,openwebtext-128-64,2.927901029586792
8,0.0,8,openwebtext-128-64,2.927901029586792
9,0.0,8,openwebtext-128-64,2.927901029586792
10,0.0,8,openwebtext-128-64,2.927901029586792
11,0.0,8,openwebtext-128-64,2.927901029586792
8,-1.0,8,openwebtext-128-64,3.251801013946533
8,-0.5,8,openwebtext-128-64,3.1685593128204346
8,-0.2,8,openwebtext-128-64,3.1154189109802246
8,-0.15,8,openwebtext-128-64,3.096395492553711
8,-0.1,8,openwebtext-128-64,3.0534610748291016
8,-0.05,8,openwebtext-128-64,2.982633113861084
8,0.05,8,openwebtext-128-64,2.9314792156219482
8,0.1,8,openwebtext-128-64,3.0456485748291016
8,0.15,8,openwebtext-128-64,3.374645948410034
8,0.2,8,openwebtext-128-64,3.9047276973724365
8,0.5,8,openwebtext-128-64,11.400010108947754
8,1.0,8,openwebtext-128-64,17.4796085357666
0,0.0,9,openwebtext-128-64,4.467440128326416
1,0.0,9,openwebtext-128-64,4.467440128326416
2,0.0,9,openwebtext-128-64,4.467440128326416
3,0.0,9,openwebtext-128-64,4.467440128326416
4,0.0,9,openwebtext-128-64,4.467440128326416
5,0.0,9,openwebtext-128-64,4.467440128326416
6,0.0,9,openwebtext-128-64,4.467440128326416
7,0.0,9,openwebtext-128-64,4.467440128326416
8,0.0,9,openwebtext-128-64,4.467440128326416
9,0.0,9,openwebtext-128-64,4.467440128326416
10,0.0,9,openwebtext-128-64,4.467440128326416
11,0.0,9,openwebtext-128-64,4.467440128326416
8,-1.0,9,openwebtext-128-64,4.925383567810059
8,-0.5,9,openwebtext-128-64,4.79193639755249
8,-0.2,9,openwebtext-128-64,4.71306037902832
8,-0.15,9,openwebtext-128-64,4.694828033447266
8,-0.1,9,openwebtext-128-64,4.6581292152404785
8,-0.05,9,openwebtext-128-64,4.580229759216309
8,0.05,9,openwebtext-128-64,4.421942710876465
8,0.1,9,openwebtext-128-64,4.63556432723999
8,0.15,9,openwebtext-128-64,5.151370048522949
8,0.2,9,openwebtext-128-64,5.842927932739258
8,0.5,9,openwebtext-128-64,13.701414108276367
8,1.0,9,openwebtext-128-64,20.31247329711914
0,0.0,10,openwebtext-128-64,3.13442325592041
1,0.0,10,openwebtext-128-64,3.13442325592041
2,0.0,10,openwebtext-128-64,3.13442325592041
3,0.0,10,openwebtext-128-64,3.13442325592041
4,0.0,10,openwebtext-128-64,3.13442325592041
5,0.0,10,openwebtext-128-64,3.13442325592041
6,0.0,10,openwebtext-128-64,3.13442325592041
7,0.0,10,openwebtext-128-64,3.13442325592041
8,0.0,10,openwebtext-128-64,3.13442325592041
9,0.0,10,openwebtext-128-64,3.13442325592041
10,0.0,10,openwebtext-128-64,3.13442325592041
11,0.0,10,openwebtext-128-64,3.13442325592041
8,-1.0,10,openwebtext-128-64,3.6908152103424072
8,-0.5,10,openwebtext-128-64,3.6172046661376953
8,-0.2,10,openwebtext-128-64,3.5582737922668457
8,-0.15,10,openwebtext-128-64,3.517106771469116
8,-0.1,10,openwebtext-128-64,3.4177663326263428
8,-0.05,10,openwebtext-128-64,3.2597508430480957
8,0.05,10,openwebtext-128-64,3.100700855255127
8,0.1,10,openwebtext-128-64,3.4473602771759033
8,0.15,10,openwebtext-128-64,4.201282024383545
8,0.2,10,openwebtext-128-64,5.0427327156066895
8,0.5,10,openwebtext-128-64,10.952475547790527
8,1.0,10,openwebtext-128-64,15.389039993286133
0,0.0,11,openwebtext-128-64,3.5600154399871826
1,0.0,11,openwebtext-128-64,3.5600154399871826
2,0.0,11,openwebtext-128-64,3.5600154399871826
3,0.0,11,openwebtext-128-64,3.5600154399871826
4,0.0,11,openwebtext-128-64,3.5600154399871826
5,0.0,11,openwebtext-128-64,3.5600154399871826
6,0.0,11,openwebtext-128-64,3.5600154399871826
7,0.0,11,openwebtext-128-64,3.5600154399871826
8,0.0,11,openwebtext-128-64,3.5600154399871826
9,0.0,11,openwebtext-128-64,3.5600154399871826
10,0.0,11,openwebtext-128-64,3.5600154399871826
11,0.0,11,openwebtext-128-64,3.5600154399871826
8,-1.0,11,openwebtext-128-64,4.1866135597229
8,-0.5,11,openwebtext-128-64,3.943131923675537
8,-0.2,11,openwebtext-128-64,3.775386333465576
8,-0.15,11,openwebtext-128-64,3.729954242706299
8,-0.1,11,openwebtext-128-64,3.663506031036377
8,-0.05,11,openwebtext-128-64,3.599055767059326
8,0.05,11,openwebtext-128-64,3.576988458633423
8,0.1,11,openwebtext-128-64,3.7650816440582275
8,0.15,11,openwebtext-128-64,4.119916915893555
8,0.2,11,openwebtext-128-64,4.579421043395996
8,0.5,11,openwebtext-128-64,9.325565338134766
8,1.0,11,openwebtext-128-64,13.137105941772461
0,0.0,12,openwebtext-128-64,3.5510222911834717
1,0.0,12,openwebtext-128-64,3.5510222911834717
2,0.0,12,openwebtext-128-64,3.5510222911834717
3,0.0,12,openwebtext-128-64,3.5510222911834717
4,0.0,12,openwebtext-128-64,3.5510222911834717
5,0.0,12,openwebtext-128-64,3.5510222911834717
6,0.0,12,openwebtext-128-64,3.5510222911834717
7,0.0,12,openwebtext-128-64,3.5510222911834717
8,0.0,12,openwebtext-128-64,3.5510222911834717
9,0.0,12,openwebtext-128-64,3.5510222911834717
10,0.0,12,openwebtext-128-64,3.5510222911834717
11,0.0,12,openwebtext-128-64,3.5510222911834717
8,-1.0,12,openwebtext-128-64,3.79489803314209
8,-0.5,12,openwebtext-128-64,3.7116947174072266
8,-0.2,12,openwebtext-128-64,3.638573169708252
8,-0.15,12,openwebtext-128-64,3.6124510765075684
8,-0.1,12,openwebtext-128-64,3.5707693099975586
8,-0.05,12,openwebtext-128-64,3.5305335521698
8,0.05,12,openwebtext-128-64,3.7114005088806152
8,0.1,12,openwebtext-128-64,3.974490165710449
8,0.15,12,openwebtext-128-64,4.287538051605225
8,0.2,12,openwebtext-128-64,4.72991943359375
8,0.5,12,openwebtext-128-64,10.457486152648926
8,1.0,12,openwebtext-128-64,16.53683090209961
0,0.0,13,openwebtext-128-64,2.650153398513794
